head_width,head_length,eye_length,femur_length,svl,interorbital,internarial,family
12.11,12.03,3.44,18.82,35.52,5.22,2.19,Tree Frogs
11.94,11.89,3.38,19.05,36.91,5.01,2,Tree Frogs
11.37,12.21,3.33,19.74,36.93,5.31,2.61,Tree Frogs
11.03,11.95,3.43,19.08,34.15,5.75,1.77,Tree Frogs
22.13,24.06,6.55,34.95,69.99,12.41,4.77,Tree Frogs
20.09,22.81,5,35.04,55.84,11.31,4.08,Tree Frogs
17.22,21.21,6.03,31.52,61.51,10.43,3.73,Tree Frogs
20.58,22.02,6.03,30.42,61.25,11.68,4.57,Tree Frogs
25.77,26.04,6.7,43.31,82.05,14.9,5.29,Tree Frogs
25.35,26.67,7.76,43.59,80.55,14.3,4.55,Tree Frogs
25.11,29.94,7.03,44,81.44,15.16,5.45,Tree Frogs
16.38,17.94,4.86,25.35,49.27,9.9,3.49,Tree Frogs
16.76,21.53,5.37,29.29,59.32,11.91,3.79,Tree Frogs
12.29,12.97,4.46,18.91,41.77,6.91,1.91,Tree Frogs
14.3,14.7,3.98,20.21,42.78,7.77,2.3,Tree Frogs
8.84,10.38,3.04,14.67,30.17,5.3,2.35,Tree Frogs
8.8,10.09,3.22,13.04,30.19,5.7,2.78,Tree Frogs
7.59,9.65,2.69,13.23,28.81,4.72,2.36,Tree Frogs
9.68,9.65,3.03,13.47,31.88,6.07,1.91,Tree Frogs
8.38,9.71,3.43,13.43,29.47,5.16,1.84,Tree Frogs
8.52,9.72,3.16,15.17,31.03,5.49,2.26,Tree Frogs
8.17,10.52,3.07,15.11,31.27,5.72,2,Tree Frogs
8.99,9.98,3.21,15.81,32.85,5.9,2.36,Tree Frogs
9.87,10.68,3.04,17.16,34.16,5.5,1.93,Tree Frogs
9.22,8.88,2.89,13.08,25.85,5.04,2.67,Tree Frogs
8.05,8.11,2.82,11.66,23.75,4.42,1.98,Tree Frogs
7.47,7.25,2.3,9.56,21.03,4.13,1.25,Tree Frogs
12.75,13.85,4.56,19.17,39.13,7.37,2.82,Tree Frogs
11.89,12.91,4.46,16.32,39.82,7.22,2.61,Tree Frogs
13.22,14.85,4.76,19.27,42.87,7.88,2.3,Tree Frogs
14.77,15.58,4.35,19.05,41.25,8.88,3.13,Tree Frogs
16.59,16.47,4.73,23.97,47.31,9.04,2.7,Tree Frogs
14.52,14.61,5.69,22.42,45.89,8.76,3.27,Tree Frogs
13.32,11.95,4.03,19.34,35.82,7.35,2.56,Tree Frogs
12.39,13.25,4.48,18.31,35.77,7.37,2.57,Tree Frogs
17.91,17.96,5.81,28.7,55.32,11.06,3.66,Tree Frogs
17.72,17.27,5.35,23.84,51.27,11.47,3.13,Tree Frogs
16.67,17.39,5.28,26.46,49.94,10.01,3.08,Tree Frogs
19.66,19.1,6.39,25.51,54.95,12.22,3.55,Tree Frogs
19.73,20,6.51,31.55,61.41,12.37,4.1,Tree Frogs
19.85,20.86,7.04,30.13,61.45,13.41,4.49,Tree Frogs
16.94,17.29,5.28,25.92,49.85,11.63,3.77,Tree Frogs
15.74,16.84,5.23,22.97,48.28,10.65,3.56,Tree Frogs
18.02,18.77,4.86,23.84,51.08,9.99,2.87,Tree Frogs
19.02,20.05,5.76,25.98,51.93,11.42,2.8,Tree Frogs
18.59,19.26,4.51,25.99,54.88,10.3,3.12,Tree Frogs
17.39,17.28,5.22,24.23,48.22,10.84,2.77,Tree Frogs
17.72,17.52,4.97,26.08,49.02,11.04,3.33,Tree Frogs
18.5,18.92,5.83,24.35,50.18,11.14,3.44,Tree Frogs
21.1,22.36,6.85,31.84,66.21,13.51,4.52,Tree Frogs
25.95,25.38,7.88,38.38,80.11,16.37,5.5,Tree Frogs
23.26,24.51,6.84,39.36,73.67,15.68,4.94,Tree Frogs
24.31,25.13,7.08,42.05,78.08,14.99,4.78,Tree Frogs
25.09,25.18,6.3,38.79,75.88,16.58,4.58,Tree Frogs
22.67,22.92,5.55,34.67,71.75,14.92,3.88,Tree Frogs
17.97,18.11,4.34,26.77,52.63,10.04,3.89,Tree Frogs
17.62,17.22,4.57,24.48,48.72,9.41,3.98,Tree Frogs
21.81,21.69,5.5,29.61,60.28,12.61,3.23,Tree Frogs
18.96,18.95,5.09,26.72,50.94,10.03,4.15,Tree Frogs
18.74,18.93,6.11,29.32,57.01,11.31,4.16,Tree Frogs
19.49,20.28,6.24,30.75,59.56,11.75,3.9,Tree Frogs
19.2,19.35,6.17,30.28,60.57,11.19,3.85,Tree Frogs
21.16,22.67,4.85,36.41,68.27,13.49,4.03,Tree Frogs
23.62,22.53,5.3,33.02,68.68,13.8,4.37,Tree Frogs
29.19,29.13,NA,NA,88.52,15.63,5.75,Tree Frogs
25.22,25.72,5.98,35.54,80.08,14.52,5.75,Tree Frogs
23.32,24.25,6.06,32.54,69.52,14.11,4.36,Tree Frogs
26.85,27.75,5.79,37.79,77.26,14.61,4.49,Tree Frogs
39.39,37.43,11.63,52.23,124.07,23.91,9.18,Tree Frogs
36.89,33.26,9.29,53.88,113.04,21.49,9.25,Tree Frogs
39.26,35.19,10.43,49.61,120.61,22.97,8.85,Tree Frogs
9.34,8.93,2.62,12.54,24.27,4.75,2.04,Tree Frogs
9.31,9.03,2.85,11.51,25.52,5.05,2.25,Tree Frogs
10.05,9.3,3.23,12.05,26.43,5.31,1.84,Tree Frogs
9.42,8.65,2.73,11.51,26.15,4.74,2.09,Tree Frogs
10.09,8.91,2.82,12.52,24.92,5.17,2.08,Tree Frogs
10.59,12.97,4.29,16.75,34.01,7.7,2.58,Tree Frogs
12.03,14,4.32,15.64,34.14,6.51,2.27,Tree Frogs
12.18,11.55,4.51,15.36,32.82,7.29,2.61,Tree Frogs
11.33,11.6,4.06,16.54,32.58,7,2.83,Tree Frogs
12.01,12.83,4.25,16.58,34.74,7.41,2.85,Tree Frogs
17.65,18.52,5.2,20.12,41.75,10.17,3.97,Tree Frogs
19.14,15.61,4.08,17.54,38.25,8.72,3.81,Tree Frogs
17.78,16.89,4.88,17.97,37.03,9.7,3.78,Tree Frogs
18.99,17.4,4.1,20.31,38.13,8.69,4.32,Tree Frogs
19.62,16.04,4.81,17.21,38.94,8.89,4.03,Tree Frogs
13.58,13.73,3.92,19.25,43.92,6.47,2.45,Tree Frogs
12.94,12.57,3.51,18.39,43.14,6.36,2.11,Tree Frogs
14.29,13.3,3.83,19.61,45.18,6.44,2.72,Tree Frogs
14.5,13.8,3.37,19.09,45.12,6.68,2.66,Tree Frogs
13.63,13.01,3.85,18.36,43.34,6.68,2.29,Tree Frogs
14.52,14.44,3.98,25.54,46.5,6.8,2.45,Tree Frogs
14,13.97,3.99,24.82,43.41,6.39,2.95,Tree Frogs
13.41,13.98,3.89,20,39.13,6.27,2.59,Tree Frogs
13.63,13.53,3.78,18.75,34.89,5.78,2.08,Tree Frogs
14.21,15.03,4.48,22.92,37.25,6.57,2.15,Tree Frogs
12.93,13.25,3.92,19.26,29.07,5.65,2.41,Tree Frogs
11.55,12.7,3.52,18.15,27.72,5.98,2.22,Tree Frogs
16.72,15.24,4.99,21.05,43.81,9.57,3.51,Tree Frogs
15.75,15.15,5.08,20.88,43.08,8.57,3.65,Tree Frogs
19.74,18.81,5.93,28,54.51,11.78,4.94,Tree Frogs
7.89,8.82,3.1,11.19,27.74,4.19,1.33,Tree Frogs
7.97,8.7,2.4,12.02,26.47,4.24,1.65,Tree Frogs
7.4,8.49,2.7,11.37,26.4,3.93,1.35,Tree Frogs
8.74,9.33,2.96,13.85,31.47,4.9,1.98,Tree Frogs
8.31,9.22,2.65,13.81,30.54,4.26,1.73,Tree Frogs
7.06,8.7,2.98,11.24,28.06,3.39,1.03,Tree Frogs
6.77,8.62,2.59,11.31,28.86,3.5,1.14,Tree Frogs
6.87,8.92,2.7,11.71,27.8,4.04,0.98,Tree Frogs
6.8,9.17,2.22,11.27,28.09,3.86,1.08,Tree Frogs
13,14.06,4.3,16.44,40.01,5.42,2.08,Tree Frogs
9.94,12.18,3.16,13.42,32.13,4.69,1.8,Tree Frogs
12.46,13.98,3.74,18.52,32.33,5.07,1.93,Tree Frogs
10.43,11.32,3.75,15.59,33.67,4.49,1.52,Tree Frogs
6.84,9.07,2.47,12.07,30.15,3.57,1.13,Tree Frogs
6.79,8.47,2.18,11.67,25.67,2.87,0.99,Tree Frogs
6.68,8.57,2.34,11.25,26.55,3.34,0.99,Tree Frogs
6.36,7.88,2.23,11.71,27.3,3.39,1.22,Tree Frogs
7.23,8.93,2.27,11.33,28.31,3.53,0.97,Tree Frogs
8.42,9.76,2.99,12.74,29.15,4.34,1.33,Tree Frogs
8.13,9.23,2.9,12.11,29.86,4.11,1.5,Tree Frogs
7.68,8.45,2.8,12.06,27.99,4.32,1.4,Tree Frogs
7.72,8.99,2.57,11.15,27.97,4.11,1.4,Tree Frogs
7.26,8.6,2.82,11.64,29.09,4.25,1.13,Tree Frogs
6.7,9.29,2.87,11.52,26.99,3.09,1.34,Tree Frogs
6.79,8.87,2.67,10.98,26.08,3.29,1.39,Tree Frogs
6.69,9.2,2.72,11.23,25.81,3.36,1.1,Tree Frogs
6.85,9.1,2.78,11.69,25.72,3.05,1.21,Tree Frogs
6.71,8.85,2.6,10.85,25.25,3.43,1.26,Tree Frogs
3.48,5.52,1.61,5.91,14.74,2.02,0.74,Tree Frogs
3.49,5.21,1.79,6,13.84,2.08,0.73,Tree Frogs
2.99,4.91,1.7,5.23,13.14,1.33,0.67,Tree Frogs
3.53,4.25,1.56,6.22,13.81,1.73,0.77,Tree Frogs
3.15,4.39,1.41,6.35,14.23,1.76,0.8,Tree Frogs
8.66,9.63,3.35,12.75,29.35,3.76,1.34,Tree Frogs
8.49,9.97,3.36,13.87,31.62,3.52,1.63,Tree Frogs
9.64,11.64,3.39,14.4,32.61,3.68,1.82,Tree Frogs
8.74,9.87,3.16,12.42,28.6,3.39,1.27,Tree Frogs
8.91,10.21,3.23,12.72,28.11,3.56,1.2,Tree Frogs
10.79,11.89,4.04,15.72,34.28,4.46,1.82,Tree Frogs
11.23,12.95,3.59,16.99,35.7,5.82,2.02,Tree Frogs
10.69,12.08,3.39,15.81,34.33,5.67,2.22,Tree Frogs
9.86,12.17,3,15.68,33.53,5.56,1.76,Tree Frogs
12.02,12.72,3.95,15.61,39.61,5.35,1.87,Tree Frogs
11.68,11.35,3.68,13.6,35.12,5.81,2.83,Tree Frogs
11.89,11.01,3.64,12.56,36.43,4.89,2.3,Tree Frogs
13.09,12.48,3.99,13.92,40.62,5.88,2.57,Tree Frogs
11.92,11.29,4.14,13.59,37.22,5.08,2.12,Tree Frogs
11.08,10.98,3.72,14.33,33.16,4.9,2.63,Tree Frogs
6.99,7.83,2.35,8.82,25.37,3.91,1.74,Tree Frogs
6.95,8.01,2.09,10.21,27.95,3.86,1.87,Tree Frogs
6.42,7.58,2,9.07,24.7,3.79,2.2,Tree Frogs
6.52,7.61,2.29,9.23,25.64,3.09,1.39,Tree Frogs
6.32,7.57,2.53,9.46,26.66,3.08,1.31,Tree Frogs
10.08,13.01,3.09,18.84,38.37,3.41,0.88,Tree Frogs
11.42,15.26,3.98,23.36,43.91,4.06,0.84,Tree Frogs
11.39,12.7,3.79,25.93,40.11,4.58,1.27,Tree Frogs
9.48,12.11,3.68,20.79,32.85,3.95,0.72,Tree Frogs
10.12,14.07,3.09,22.22,41.28,4.48,0.74,Tree Frogs
11.77,15.44,4.1,26.3,42.3,2.55,1.06,Tree Frogs
11.3,13.58,4.08,27.81,40.39,3.52,1.06,Tree Frogs
10.52,14.28,4.6,26.87,40.14,3.9,1.04,Tree Frogs
12.42,14.54,4.05,27.25,39.56,3.8,1.25,Tree Frogs
12.51,16.78,4.18,26.5,44.51,3.1,1.17,Tree Frogs
9.87,10.47,3.26,14.59,31.7,5.69,1.72,Tree Frogs
8.66,9.98,3.08,12.84,30.78,5.09,1.79,Tree Frogs
11.79,12.27,3.43,19.13,34.72,6.02,2.07,Tree Frogs
8.53,9.78,3.36,14.22,29.77,4.76,1.74,Tree Frogs
9.22,9.67,3.43,15.36,27.73,4.79,1.4,Tree Frogs
9.74,10.37,3.15,13.63,32.58,5.89,1.37,Tree Frogs
11.57,12.68,3.41,17.02,38.61,6.21,2.14,Tree Frogs
9.2,10.24,2.99,14.43,29.94,5.1,1.52,Tree Frogs
10.4,10.3,3.35,14.33,33.74,5.53,2.03,Tree Frogs
10.48,11.02,3.38,14.18,32.88,5.51,1.75,Tree Frogs
10.88,13.02,3.56,19.25,39.32,6.26,1.79,Tree Frogs
9.47,10.95,3.35,16.44,31.76,5.59,1.87,Tree Frogs
10.71,11.77,3.87,14.91,32.26,6.25,1.94,Tree Frogs
9.37,10.24,3.34,12.45,31.11,5.47,1.51,Tree Frogs
9.69,10.31,3.2,13.83,30.74,5.7,1.89,Tree Frogs
12.23,14.58,3.67,20.15,40.54,6.46,1.57,Tree Frogs
12.21,13.95,3.93,20.12,37.2,6.35,2.08,Tree Frogs
12.33,14.74,3,20.44,39.73,6.2,1.46,Tree Frogs
11.23,13.16,3.76,15.42,35.29,4.76,1.56,Tree Frogs
10.94,16.33,4.58,20.63,41.39,5.88,1.1,Tree Frogs
13.97,17.54,4.07,19.9,44.29,7.16,1.41,Tree Frogs
14.87,18.71,4.4,26.07,48.7,7.26,1.67,Tree Frogs
13.55,16.72,4.32,19.57,44.72,6.81,1.93,Tree Frogs
12.41,15.46,4.3,19.55,43.22,7.15,1.27,Tree Frogs
13.41,16.72,4.16,20.4,45.84,7.43,1.56,Tree Frogs
7.82,9.41,2.87,13.49,26.46,3.32,0.94,Tree Frogs
7.11,9.29,2.8,12.91,24.39,3.57,1.15,Tree Frogs
7.58,9.3,2.7,13.35,24.55,2.8,1.22,Tree Frogs
7.16,9.12,2.87,13.36,25.45,3.96,1.14,Tree Frogs
7.44,9.89,2.77,13.17,24.38,3.84,1.03,Tree Frogs
8.28,10.48,2.99,12.79,29.61,4.51,0.95,Tree Frogs
8.04,10.95,2.85,12.71,27.78,4.53,1.4,Tree Frogs
8.82,11.8,3.35,12.47,30.02,4.44,1.86,Tree Frogs
8.31,10.36,3.18,11.72,27.18,4.25,0.92,Tree Frogs
7.83,9.98,3.11,10.44,27.28,4.54,1.53,Tree Frogs
10.89,11.34,3.17,16.23,34.89,6.48,2.49,Tree Frogs
10.23,12.04,3.23,14.89,33.95,5.52,1.35,Tree Frogs
10.57,13.21,3.25,15.21,36.25,5.49,1.25,Tree Frogs
9.69,11.29,4.03,14.49,33.75,5.72,1.33,Tree Frogs
11.37,13.51,3.43,17.61,35.29,6.38,1.69,Tree Frogs
9.92,11.52,3.12,13.53,32.02,5.07,1.43,Tree Frogs
8.65,10.03,3.47,13.66,29.72,5.95,2.24,Tree Frogs
9.77,10.48,3.14,14,30.74,6.81,1.94,Tree Frogs
9.42,10.47,3.34,14.18,31.22,6.34,2.19,Tree Frogs
10.24,12.69,3.32,16.62,38.05,5.97,1.46,Tree Frogs
11.69,12.84,3.64,20.66,38.25,5.82,1.38,Tree Frogs
9.82,12.3,3.06,18.11,34.42,5.04,1.5,Tree Frogs
11.05,13.93,3.42,21.5,37.74,6.27,1.47,Tree Frogs
11.47,13.84,3.6,17.11,39.91,5.3,1.83,Tree Frogs
14.29,17.2,3.55,21.77,45.75,8.16,3.34,Tree Frogs
14.63,15.99,3.98,20.53,43.27,8.74,3.12,Tree Frogs
14.59,15.96,3.46,22.78,44.72,8.56,3.68,Tree Frogs
10.22,11.22,3.37,13.99,32.05,6.63,2.13,Tree Frogs
9.55,10.68,3.49,13.41,31.07,6.35,2.03,Tree Frogs
10,10.34,4.02,14.77,31.95,6.65,2.53,Tree Frogs
16.99,18.18,5.11,27.37,50.69,6.98,1.62,Tree Frogs
15.6,17.1,4.26,26.43,48.58,7.15,1.88,Tree Frogs
16.8,17.79,5.08,23.19,51.15,7.77,1.98,Tree Frogs
17.95,19.06,5.33,25.79,52.95,7.47,1.92,Tree Frogs
16.84,19.58,4.64,25.24,45.63,7.91,2.21,Tree Frogs
16.32,18.35,5.02,26.46,52.67,7.79,1.82,Tree Frogs
14.34,16.56,4.55,23.5,48.54,7.33,1.59,Tree Frogs
14.66,16.64,4.33,25.12,46.42,7.83,1.13,Tree Frogs
14.81,15.68,4.12,24.3,47.06,7.29,1.64,Tree Frogs
15.25,17.07,4.76,24.33,47.9,7.68,1.81,Tree Frogs
17.1,16.78,4.35,22.67,56.7,6.94,2.07,Tree Frogs
20.92,19.85,4.69,25.79,59.17,8.81,3.01,Tree Frogs
17.95,18.14,4.44,21.38,57.34,7.93,1.75,Tree Frogs
22.83,21.1,5.14,26.33,67.14,8.45,2.76,Tree Frogs
17.93,16.89,4.39,19.78,55.04,7.41,1.98,Tree Frogs
23.32,25.34,6.74,40.2,72.02,11.87,2.81,Tree Frogs
18.6,20.09,5.55,33.54,61.72,9.46,2.02,Tree Frogs
20.91,22.95,6.02,34.21,65.17,10.55,2.8,Tree Frogs
21.26,23.56,6.1,39.68,69.37,10.52,1.86,Tree Frogs
20.42,23.75,5.99,33.08,64.84,10.37,2.62,Tree Frogs
10.71,12.84,3.74,15.43,34.7,4.93,1.09,Tree Frogs
12.89,15.58,3.9,19.21,42.76,6.14,1.34,Tree Frogs
11.57,13.62,3.87,16.99,39.44,5.48,1.39,Tree Frogs
10.94,12.37,3.77,14.34,36.05,5.05,1.27,Tree Frogs
10.47,12.81,3.12,15.76,34.17,5.27,1.15,Tree Frogs
17.71,18.06,5.69,30.4,55.23,9.2,1.91,Tree Frogs
17.08,18.92,5.29,26.17,57.25,8.74,2.13,Tree Frogs
14.85,16.94,5.16,22.17,45.52,7.14,1.71,Tree Frogs
18.38,20.64,5.29,31.06,56.3,8.28,2.37,Tree Frogs
17.84,19.51,5.27,26.02,55.63,9.17,2.19,Tree Frogs
15.54,19.52,5.09,26.68,52.49,7.35,1.55,Tree Frogs
15.27,17.99,4.66,26.29,51.88,7.86,1.85,Tree Frogs
17.82,20.87,5.92,28.85,59.96,8.83,2.09,Tree Frogs
15.99,17.88,4.89,27.41,52.19,7.71,1.7,Tree Frogs
13.39,14.74,4.21,20.73,44.31,6.47,1.27,Tree Frogs
7.18,8,2.68,14.6,24.52,3.88,0.78,Tree Frogs
7.88,8.19,2.88,14.93,29.67,4.58,0.75,Tree Frogs
7.29,7.6,2.41,13.12,21.91,3.61,0.76,Tree Frogs
11.2,13.11,3.49,16.93,37.08,6.2,2.35,Tree Frogs
12.25,11.67,3.16,16.26,37.13,6.51,2.3,Tree Frogs
11.84,10.77,3.21,16.49,36.77,7.04,2.58,Tree Frogs
11.85,10.49,3.1,17.4,37.45,5.9,2.42,Tree Frogs
11.86,11.18,3.59,18.79,37.92,6.91,2.16,Tree Frogs
13.98,14.57,3.69,20.33,39.48,7.98,2.65,Tree Frogs
13.45,13.42,3.87,19.96,38.83,8.73,2.76,Tree Frogs
12.39,11.2,3.03,16.79,40.54,7.78,3.04,Tree Frogs
14.26,13.13,3.44,19.06,37.12,8.63,2.94,Tree Frogs
11.84,11.17,3.39,15.09,36.35,7.35,2.49,Tree Frogs
6.77,7.24,2.46,9.8,21.22,4.22,2.02,Tree Frogs
6.38,7.1,2.35,9.66,20.35,3.89,1.58,Tree Frogs
7.09,7.01,2.62,10.39,21.9,4,1.52,Tree Frogs
6.55,6.72,2.3,10.2,20.49,3.42,1.83,Tree Frogs
6.67,7.07,2.15,11.09,21.2,4.42,1.68,Tree Frogs
5.68,6.45,1.63,8.57,21.12,3.7,1.52,Tree Frogs
4.91,6.35,2.27,7.2,16.68,2.97,1.4,Tree Frogs
5.71,6.46,2.05,8.79,19.63,3.37,2.3,Tree Frogs
9.14,9.92,2.17,13.57,28.66,5.35,2.47,Tree Frogs
8.04,9.28,2.42,12.84,26.18,4.82,1.85,Tree Frogs
8.62,9,2.56,14,28.99,5.65,2.14,Tree Frogs
8.37,8.58,2.5,10.85,25.67,4.63,1.86,Tree Frogs
21.6,20.04,5.77,28.51,63.66,13.14,4.82,Tree Frogs
22.86,20.5,4.97,31.92,60.12,13.12,4.21,Tree Frogs
18.44,16.98,5.23,25.94,55.85,10.85,3.73,Tree Frogs
19.35,21.95,5.04,28.89,62.19,12.24,3.91,Tree Frogs
20.94,20.34,5.6,29.25,66.74,11.86,3.82,Tree Frogs
18.16,18.41,5.94,26.35,60.14,9.89,2.19,Tree Frogs
18.08,17.14,4.86,26.09,57.37,10.44,3.89,Tree Frogs
21.38,22.21,5.65,26.08,64.29,11.1,2.62,Tree Frogs
25.5,25.49,5.95,35.04,75.73,12.15,4.54,Tree Frogs
24.14,22.78,6.25,33.6,70.58,12.73,3.88,Tree Frogs
23.48,22.93,5.14,33.06,68.21,13.15,4.05,Tree Frogs
21.9,24.65,8.65,30.09,70.2,13.91,5.25,Tree Frogs
22.18,22.52,4.76,28.82,66.99,13.94,4.98,Tree Frogs
22.63,22.82,6.14,28.82,67.63,13.76,5.17,Tree Frogs
24.09,23.78,5.63,31.19,68.24,13.74,4.97,Tree Frogs
26.07,25.81,7.88,37.44,85.84,15.23,5.42,Tree Frogs
24.15,22.87,5.99,32.71,72.77,14.47,5.16,Tree Frogs
23.14,22.17,6.22,34.41,73.82,15.1,5.27,Tree Frogs
20.3,26.17,5.02,23.5,52.93,14.73,1.24,Tree Frogs
17.86,27.53,5.99,27.26,56.46,14.36,1.26,Tree Frogs
20.11,29.39,6.17,32.61,61.3,15.91,0.95,Tree Frogs
20.84,25.34,6.26,27.92,58.13,15.22,1.08,Tree Frogs
16.82,24.42,5.5,25.53,53.69,13.63,1.25,Tree Frogs
